username,Address,Red Meat,Grains,Dairy,Cellphone,TV,Computer,Car,Walking,Public Transport,Food CO2 Emissions,Electronic CO2 Emissions,Transportation CO2 Emissions,Total CO2 Emissions,New Year Predicted Emissions
Sammy,178373,362.81179138321994,3.356009070294784,571.4285714285714,198.0,292.4,546.0,975.0,0,43.0,937.5963718820861,1036.4,1018.0,2991.9963718820864,2842.396553287982
Griffin,156354,322.9024943310657,280.2267573696145,120.0,151.20000000000002,510.0,369.6,487.5,0,184.9,723.1292517006802,1030.8000000000002,672.4,2426.3292517006803,2062.379863945578
Spencer,919323,94.33106575963718,130.8843537414966,222.85714285714286,360.0,340.0,315.0,546.0,0,335.4,448.0725623582766,1015.0,881.4,2344.4725623582767,2133.470031746032
Annie,983575,126.98412698412697,130.8843537414966,182.85714285714283,280.8,340.0,21.0,130.0,0,146.2,440.7256235827664,641.8,276.2,1358.7256235827663,1304.3765986394556
Aaron,919325,199.54648526077096,73.83219954648526,251.42857142857142,162.0,462.4,415.8,195.0,0,86.0,524.8072562358276,1040.2,281.0,1846.0072562358278,1846.0072562358278
Cameron,919324,239.45578231292515,167.80045351473922,214.28571428571425,270.0,510.0,315.0,286.0,0,361.2,621.5419501133786,1095.0,647.2,2363.7419501133786,2009.1806575963717
Alexis,1565535,282.99319727891157,60.40816326530613,82.85714285714285,158.4,476.0,319.2,78.0,0,0.0,426.25850340136054,953.5999999999999,78.0,1457.8585034013604,1297.4940680272107
Prey,234567,0.0,8.390022675736962,57.14285714285714,180.0,340.0,210.0,390.0,0,0.0,65.5328798185941,730.0,390.0,1185.5328798185942,1185.5328798185942
Juan,737234,1088.4353741496598,0.0,0.0,273.6,374.0,142.8,975.0,0,645.0,1088.4353741496598,790.4000000000001,1620.0,3498.83537414966,3183.9401904761908
Anthony,919323,544.2176870748299,88.93424036281179,217.14285714285714,158.4,530.4,231.0,0.0,0,215.0,850.2947845804988,919.8,215.0,1985.0947845804988,1846.1381496598638
Aaron,919323,217.68707482993196,167.80045351473922,114.28571428571428,342.0,374.0,273.0,195.0,0,86.0,499.7732426303855,989.0,281.0,1769.7732426303855,1486.6095238095238
Izzy,4684352,224.94331065759636,125.85034013605441,179.99999999999997,244.8,6.8,415.8,52.0,0,610.6,530.7936507936507,667.4000000000001,662.6,1860.7936507936508,1767.7539682539682
Amanda,4563158,214.05895691609976,72.15419501133788,245.7142857142857,446.40000000000003,448.8,8.4,247.0,0,227.89999999999998,531.9274376417234,903.6,474.9,1910.4274376417234,1814.9060657596372
Matt,996563,228.57142857142856,179.546485260771,285.7142857142857,144.0,612.0,193.20000000000002,325.0,0,215.0,693.8321995464853,949.2,540.0,2183.0321995464856,2073.880589569161
Jessica,919325,199.54648526077096,73.83219954648526,251.42857142857142,0.0,680.0,210.0,507.0,0,94.6,524.8072562358276,890.0,601.6,2016.4072562358276,1895.4228208616778
Team Total,,4346.4852607709745,1563.9002267573699,2997.142857142857,3369.6000000000004,6296.8,3985.8,5388.5,0,8907.528344671202,3250.7999999999997,13652.199999999999,8639.3,31199.0283446712,28749.48921768707
